1426+276	NGC5635	14:28:31.74448	+27:24:32.9391
1439+536	MK477	14:40:37.9216	+53:30:15.8509
1441+522	3C303	14:43:02.6932	+52:01:36.7045
1442+101	OQ172	14:45:16.48717	+09:58:36.0743
1448+625	3C305	14:49:21.2540	+63:16:12.0340
1458+718	3C309.1	14:59:07.616	+71:40:19.82
1502+106	$	15:04:24.97973	+10:29:39.1957
1504-166	$	15:07:04.787322	-16:52:30.26376
1510-089	$	15:12:50.53282	-09:05:59.8235
1511+238	$	15:13:40.186	+23:38:35.18
1513+004	1513+004	15:16:27.8576	+00:15:38.5048
1514-241	$	15:17:41.813665	-24:22:19.47331
1518+047	$	15:21:14.4239	+04:30:18.6018
1532+016	$	15:34:52.453666	+01:31:04.20693
1538+082	1538+082	15:40:28.6887	+08:04:47.4630
1538+149	$	15:40:49.49154	+14:47:45.8790
1546+027	$	15:49:29.43713	+02:37:01.1638
1548+056	$	15:50:35.26917	+05:27:10.4472
1555+001	$	15:57:51.43382	-00:01:50.4135
1559+140	1559+140	16:01:54.4079	+13:57:11.6694
1600+335	$	16:02:07.26347	+33:26:53.0728
1601+160	1601+160	16:03:37.8115	+15:54:04.6747
1606+106	$	16:08:46.20313	+10:29:07.7661
1607+268	CTD93	16:09:13.32116	+26:41:28.9873
1611+042	1611+042	16:14:13.2486	+04:05:14.9302
1611+343	$	16:13:41.06416	+34:12:47.9093
1612+339	SIG_CRB	16:14:41.2011	+33:51:32.47
1617-155	SCO_X-1	16:19:54.9591	-15:38:24.1085
1618+177	3C334	16:20:21.7772	+17:36:23.1160
1619-156	SCOX1LOB	16:19:57.42555	-15:37:24.0292
1622-253	$	16:25:46.8915615	-25:27:38.32490
1624+416	$	16:25:57.669978	+41:34:40.63118
1633+382	1633+38	16:35:15.49273	+38:08:04.5021
1634+628	3C343	16:34:33.799	+62:45:35.88
1637+574	$	16:38:13.45596	+57:20:23.9819
1637+626	3C343.1	16:38:28.202	+62:34:44.31
1637+826	NGC6251	16:32:31.80475	+82:32:16.1854
1638+124	$	16:40:47.9983	+12:20:02.0435
1638+398	NRAO512	16:40:29.63246	+39:46:46.0298
1641+399	3C345	16:42:58.80967	+39:48:36.9957
1642+690	$	16:42:07.84782	+68:56:39.7572
1642-032	PSR1642	16:45:02.1600	-03:17:58.5598
1648+050	3C348	16:51:07.9216	+04:59:33.3607
1652+398	DA426	16:53:52.2270	+39:45:36.450
